                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0085,                0.56645,                0.96632,                0.50863,                0.58546,                0.43754,                0.31079,                 1.2405,                 1.1242,                 1.0513,             0.00029694,             0.00029694,             0.00029694
                     62,                 1.0106,                0.56612,                0.96779,                0.51192,                0.60422,                0.44263,                0.31557,                 1.2372,                 1.1161,                 1.0522,             0.00029209,             0.00029209,             0.00029209
                     63,                 1.0076,                0.56495,                0.96525,                0.49508,                0.60579,                   0.45,                0.32136,                 1.2312,                 1.1307,                 1.0462,             0.00028724,             0.00028724,             0.00028724
                     64,                 1.0109,                0.56691,                0.96575,                 0.5128,                0.61356,                0.44796,                0.31952,                  1.234,                 1.1209,                 1.0525,             0.00028239,             0.00028239,             0.00028239
                     65,                 1.0146,                0.56713,                0.96774,                0.51155,                0.60796,                0.45181,                0.32136,                 1.2359,                 1.1375,                   1.05,             0.00027754,             0.00027754,             0.00027754
                     66,                0.99934,                0.55273,                0.96223,                0.50918,                0.60574,                 0.4536,                0.32563,                 1.2305,                 1.1322,                 1.0504,             0.00027268,             0.00027268,             0.00027268
                     67,                 1.0029,                0.55599,                0.96267,                0.51179,                 0.5945,                0.44376,                0.31852,                 1.2384,                 1.1568,                 1.0515,             0.00026783,             0.00026783,             0.00026783
                     68,                 1.0063,                0.56091,                0.96257,                0.47894,                0.62647,                0.44632,                 0.3198,                 1.2304,                 1.1378,                 1.0487,             0.00026298,             0.00026298,             0.00026298
                     69,                  1.001,                0.55261,                0.96279,                 0.5046,                0.58908,                0.44675,                0.32042,                 1.2308,                 1.1546,                 1.0532,             0.00025813,             0.00025813,             0.00025813
                     70,                 1.0019,                 0.5549,                0.96375,                0.47186,                0.61274,                0.43962,                0.31375,                 1.2247,                 1.1973,                 1.0462,             0.00025328,             0.00025328,             0.00025328
